sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,9.0,1.0,12.0,1.0,1.0,2.0,2.0,2.0,29.0,1.0,1.0,0.0,1.0,2.0,0.045,0.0,1.0,0.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,2.0,30.0,8.0,1.0,1.0,2.0,1.0,20.0,0.0,0.0,1.0,0.0,4.0,0.049,0.0,2.0,2.0,16.472744845360825,1.0,0.0,0.0,1.0,0.0,0.0
1.0,3.0,1.0,24.0,8.0,1.0,1.0,2.0,2.0,33.0,2.0,0.0,0.0,0.0,3.0,0.072,0.0,1.0,1.0,7.127983271375465,1.0,0.0,0.0,1.0,0.0,0.0
1.0,9.0,2.0,18.0,8.0,1.0,1.0,1.0,2.0,22.0,1.0,1.0,1.0,0.0,3.0,0.06,1.0,1.0,0.0,11.115521739130434,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,1.0,24.0,8.0,1.0,1.0,1.0,1.0,30.0,2.0,0.0,1.0,0.0,3.0,0.058,0.0,1.0,1.0,20.60603946637021,0.0,0.0,1.0,0.0,0.0,1.0
1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,37.0,3.0,0.0,0.0,0.0,2.0,0.036,0.0,0.0,1.0,11.01969827586207,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2.0,36.0,8.0,1.0,1.0,2.0,2.0,26.0,0.0,0.0,0.0,0.0,2.0,0.06,0.0,0.0,1.0,10.420801630434784,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,2.0,24.0,8.0,2.0,1.0,2.0,2.0,35.0,0.0,0.0,0.0,0.0,3.0,0.061,0.0,0.0,0.0,11.843323183569808,1.0,0.0,0.0,1.0,0.0,0.0
1.0,2.0,1.0,24.0,8.0,1.0,1.0,2.0,2.0,33.0,6.0,1.0,1.0,0.0,4.0,0.085,0.0,2.0,1.0,11.843323183569808,1.0,0.0,0.0,0.0,0.0,0.0
1.0,9.0,1.0,12.0,8.0,1.0,2.0,2.0,1.0,24.0,1.0,0.0,0.0,0.0,1.0,0.049,0.0,1.0,1.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,54.0,8.0,2.0,1.0,2.0,2.0,29.0,7.0,0.0,1.0,0.0,3.0,0.045,0.0,5.0,3.0,11.843323183569808,0.0,0.0,1.0,0.0,0.0,0.0
1.0,6.0,2.0,144.0,8.0,1.0,1.0,2.0,2.0,19.0,0.0,0.0,0.0,0.0,3.0,0.068,1.0,0.0,2.0,25.340451541850225,0.0,1.0,0.0,0.0,1.0,0.0
1.0,12.0,1.0,10.0,8.0,1.0,1.0,2.0,2.0,33.0,3.0,0.0,1.0,0.0,2.0,0.04,0.0,2.0,1.0,14.846515679442511,0.0,0.0,1.0,0.0,0.0,0.0
1.0,4.0,1.0,66.0,1.0,1.0,1.0,2.0,2.0,48.0,0.0,2.0,1.0,0.0,4.0,0.047,1.0,0.0,0.0,15.157529644268775,0.0,0.0,1.0,0.0,0.0,0.0
1.0,4.0,1.0,390.0,1.0,1.0,1.0,2.0,2.0,38.0,1.0,0.0,0.0,1.0,3.0,0.077,1.0,0.0,0.0,58.41021089630932,1.0,0.0,0.0,0.0,0.0,0.0
