sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,6.0,1.0,24,8.0,2.0,2.0,2.0,2.0,19,0.0,0,0,1,2,0.085,0,1,1,,1,0,0,0,0,0,0
1,8.0,1.0,24,8.0,1.0,2.0,2.0,2.0,28,2.0,0,1,0,2,0.053,1,2,1,10.30875,0,1,0,0,0,0,1
1,4.0,2.0,36,8.0,1.0,2.0,2.0,2.0,19,0.0,0,0,0,2,0.075,0,0,2,,1,0,0,0,0,0,0
1,17.0,2.0,12,8.0,2.0,1.0,2.0,2.0,22,0.0,0,0,0,2,0.049,0,1,1,,1,0,0,1,0,0,1
1,6.0,1.0,30,8.0,1.0,1.0,2.0,2.0,23,1.0,0,1,0,2,0.049,0,2,0,9.557271028037384,0,0,1,0,0,1,0
1,9.0,2.0,36,1.0,2.0,2.0,2.0,2.0,26,0.0,0,1,0,2,0.068,0,1,1,16.89363436123348,0,1,0,0,0,0,1
1,9.0,1.0,12,8.0,2.0,2.0,2.0,2.0,22,2.0,0,0,0,2,0.054,0,0,3,,0,1,0,0,0,0,0
1,3.0,1.0,60,8.0,1.0,2.0,2.0,2.0,21,1.0,0,0,0,2,0.055,1,3,0,,0,1,0,0,0,0,1
1,3.0,1.0,36,8.0,1.0,1.0,2.0,2.0,38,9.0,0,0,0,2,0.056,0,5,4,5.868179035960215,0,1,0,0,1,0,0
1,6.0,1.0,11,8.0,1.0,1.0,2.0,2.0,28,5.0,1,0,0,2,0.056,0,3,3,10.06523622047244,0,1,0,0,1,0,0
1,6.0,1.0,6,8.0,1.0,1.0,2.0,2.0,28,1.0,1,0,0,2,0.056,0,1,0,10.06523622047244,0,1,0,0,1,0,0
1,2.0,1.0,4,8.0,1.0,1.0,1.0,2.0,42,5.0,0,1,0,2,0.054,0,2,3,,0,1,0,0,1,0,1
1,6.0,1.0,6,8.0,1.0,1.0,2.0,2.0,29,1.0,0,1,0,2,0.042,0,0,1,,0,0,1,0,0,1,0
1,8.0,1.0,12,8.0,2.0,1.0,2.0,2.0,32,4.0,0,1,0,2,0.075,0,2,3,,0,1,0,0,1,0,1
1,2.0,1.0,9,4.0,2.0,1.0,1.0,2.0,25,2.0,0,0,0,2,0.056,0,2,0,,0,1,0,0,1,0,0
1,6.0,1.0,6,8.0,2.0,1.0,2.0,2.0,29,5.0,0,0,0,2,0.045,0,3,2,,0,0,1,0,0,1,0
1,6.0,2.0,12,8.0,1.0,1.0,2.0,2.0,37,0.0,0,0,0,2,0.056,0,0,1,7.54892716535433,0,1,0,0,1,0,1
1,4.0,1.0,12,5.0,2.0,1.0,2.0,2.0,41,5.0,0,0,0,2,0.056,0,0,0,36.69717703349283,1,0,0,1,0,0,1
1,3.0,1.0,10,8.0,1.0,1.0,1.0,1.0,20,2.0,0,0,0,2,0.056,0,3,2,6.8462088752869175,0,1,0,0,1,0,1
