sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019
1.0,47.0,11.0,0.0,2.0,0.0,529.0,1981.0,2.0,8.0,144.0,7777.0,411.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,6.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8.0,11.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,14.737509101941749,12.410533980582525,124.10533980582524,620.5266990291262,310.2633495145631,2482.106796116505
2.0,61.0,21.0,0.0,4.0,0.0,20.0,1993.0,72.0,8.0,133.0,5600.0,820.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,8888.0,8888.0,8888.0,8888.0,1.0,2.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
1.0,37.0,16.0,104.0,2.0,4.0,713.0,1989.0,3.0,1.0,105.0,4480.0,549.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,,,0.0,168.7876320422535,0.0,2250.50176056338
1.0,53.0,31.0,0.0,2.0,6.0,410.0,1979.0,24.0,8.0,105.0,4480.0,812.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,8888.0,8888.0,8888.0,8888.0,1.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,17.32289102202146,,,144.35742518351216,0.0,2887.148503670243
1.0,36.0,29.0,0.0,2.0,7.0,546.0,2003.0,18.0,8.0,151.0,7777.0,546.0,1.0,8.0,,,2.0,2.0,0.0,1.0,1.0,2.0,,1.0,,2.0,1.0,8.0,10.0,15.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,1.0,10.658296275708729,,28.42212340188994,355.27654252362424,,2131.659255141745
2.0,37.0,14.0,0.0,2.0,9.0,812.0,2008.0,90.0,8.0,111.0,520.0,812.0,1.0,1.0,,,,,,,,,,2.0,,2.0,,8888.0,8888.0,8888.0,8888.0,,8888.0,8888.0,8888.0,8888.0,1.0,2.0,1.0,2.0,2.0,2.0,,,,1619.8867092457422,,0.0
1.0,82.0,16.0,0.0,2.0,,50.0,1968.0,36.0,8.0,103.0,,410.0,1.0,2.0,,,2.0,2.0,1.0,0.0,0.0,1.0,,0.0,,2.0,1.0,8888.0,8888.0,8888.0,8888.0,1.0,12.0,2.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,122.76446578631452,153.45558223289316,230.18337334933975,306.9111644657863,0.0,460.3667466986796
1.0,55.0,11.0,0.0,2.0,5.0,810.0,1991.0,8.0,1.0,144.0,1920.0,810.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,9.638463398140322,1296.6542688081151,518.661707523246,324.1635672020288,864.43617920541,0.0
1.0,29.0,16.0,0.0,2.0,3.0,417.0,1987.0,36.0,1.0,105.0,7485.0,417.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,4.0,4.0,1.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,1.0,1.0,2.0,1.0,1.0,30.435357142857143,0.0,,608.7071428571429,0.0,104.34979591836736
1.0,54.0,11.0,0.0,2.0,0.0,529.0,1971.0,6.0,8.0,144.0,7777.0,410.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,6.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,195.6059678653405,,293.4089517980108
