birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1966,6.0,16.0,23.0,1,WD,Other,36.0,0.2656433174291274,undetermined
1963,10.0,20.0,21.0,1,WD,Manual,12.0,0.2656433174291274,undetermined
1968,13.0,20.0,20.0,1,WD,Manual,12.0,0.2656433174291274,undetermined
1968,6.0,17.583333333333336,21.0,1,WD,Other,18.0,0.2656433174291274,undetermined
1972,3.0,18.25,17.0,1,WD,Other,3.0,0.2656433174291274,undetermined
1938,6.0,29.5,19.0,4,WOD,Agrarian,42.0,0.2656433174291274,no_movement
1945,5.0,33.0,44.0,1,WD,Other,36.0,0.2656433174291274,no_movement
1971,9.0,15.166666666666666,20.0,1,WD,Manual,6.0,0.2656433174291274,undetermined
1954,10.0,21.0,28.0,1,WOD,Other,12.0,0.2656433174291274,undetermined
1947,2.0,35.666666666666664,30.0,1,WOD,Other,8.0,0.2656433174291274,no_movement
1923,4.0,34.0,74.0,1,WOD,Other,1.0,0.2656433174291274,no_movement
1958,6.0,27.0,15.0,1,WD,Manual,36.0,0.2656433174291274,undetermined
1941,4.0,26.0,52.0,1,WOD,Other,2.0,0.2656433174291274,no_movement
1954,1.0,29.5,26.0,3,WOD,Manual,150.0,0.2656433174291274,undetermined
1960,9.0,20.0,19.0,2,WD,Other,240.0,0.2656433174291274,undetermined
1961,5.0,23.0,23.0,1,WD,Other,180.0,0.2656433174291274,undetermined
1967,9.0,12.833333333333334,21.0,3,WD,Manual,22.0,0.2656433174291274,undetermined
1962,6.0,21.333333333333332,21.0,3,WOD,Manual,124.0,0.2656433174291274,undetermined
1966,6.0,23.0,18.0,1,WD,Other,180.0,0.2656433174291274,undetermined
1978,4.0,9.0,19.0,1,WD,Manual,24.0,0.2656433174291274,undetermined
1972,6.0,17.0,20.0,2,WD,Other,72.0,0.2656433174291274,undetermined
1971,5.0,15.0,18.0,1,WD,Other,120.0,0.2656433174291274,undetermined
1962,13.0,26.666666666666668,17.0,3,WOD,Manual,228.0,0.2656433174291274,undetermined
