Classifier,Train_sizes,Train_scores,Validation_scores
Random Forest,6230,"[0.6184696360423225, 0.614664264767366, 0.6287338297805768, 0.618539162551316, 0.6123504121564757, 0.6156299555842456, 0.6218542554654768, 0.6094709257062022, 0.6151039677230935, 0.6059203485118909]","[0.5573029464918753, 0.5742830551641506, 0.5901177755736908, 0.5654443803775948, 0.5757990035075831, 0.5580961360607679, 0.5670884449976533, 0.5590352008204852, 0.5612309165653941, 0.5970799592931596]"
GBM,346,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6589173975619562, 0.6980757774752272, 0.6461805083778014, 0.6692494363308901, 0.7150098619615832, 0.7150402761599144, 0.7038152184964525, 0.6342067781019816, 0.6594417274569179, 0.7127223669223686]"
GBM,692,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7754316795602819, 0.7383443514786677, 0.7719014964815347, 0.741920108040646, 0.7778986340703068, 0.7527330310967912, 0.7648240515164744, 0.7218151813319538, 0.7773187954069987, 0.7484609335698965]"
GBM,1384,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8132751333749048, 0.7990239184391749, 0.8247115776316591, 0.7710109148520683, 0.8151907335576539, 0.8059258478201559, 0.8333062752872864, 0.8147170321128762, 0.8229226630053589, 0.7724609254150445]"
GBM,2076,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.7927460312414413, 0.8188182822895759, 0.8346644389134299, 0.7975763539345098, 0.8313907006676173, 0.8178727243524626, 0.8264150770326792, 0.8381496888251947, 0.8274621430143528, 0.7644255698901251]"
GBM,2769,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8165351280052726, 0.834393535379681, 0.8411207578970874, 0.8016603250916104, 0.8516676651403493, 0.8304115445687457, 0.8581545811605864, 0.8381496888251947, 0.8375056106282528, 0.7925398788581113]"
GBM,3461,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8204055281436321, 0.871089983874578, 0.838223384831463, 0.827150603051037, 0.8722100833315785, 0.8381496888251947, 0.8370150919772225, 0.8488181165694464, 0.8413598047332308, 0.7931046162307729]"
GBM,4153,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8337758603364344, 0.8630808953118737, 0.8488877381930305, 0.8429697858821328, 0.9060866847121353, 0.8425135097562739, 0.8643006102649927, 0.8484555429043119, 0.8579215687393644, 0.8337424185407443]"
GBM,4846,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8275397856900636, 0.8435344423950011, 0.8623324912302116, 0.8661421434663789, 0.888752544979338, 0.8381496888251947, 0.8679090766203956, 0.8649364946388148, 0.8513726676823581, 0.8367993540396237]"
GBM,5538,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8421653616744399, 0.8768261656468797, 0.8584910956311687, 0.8625834629401715, 0.8961431424610717, 0.855543593171805, 0.8850452852346451, 0.865185641455504, 0.8508991973184579, 0.8506270383771859]"
GBM,6230,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8453349490501785, 0.8488877381930305, 0.8681045529823068, 0.8721055482966651, 0.8958964527859559, 0.8516676651403493, 0.8785003215952716, 0.8747504317248073, 0.8713868500681702, 0.8326977857442449]"
