sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019,target
1,37.0,11,0,2,15,524,1987.0,18.0,1,105,4480,549,,2.0,2,2,2,2,1,1,1,1,4,4,5,2,8888,8888,8888,8888,8888,8888,8888,8888,8888,8888,1,2,2,2,1,1,,0.0,123.03031761308951,246.06063522617902,,492.12127045235803,1
1,56.0,11,17,2,0,529,1984.0,48.0,8,148,,410,,2.0,1,2,2,2,2,2,2,2,3,1,3,2,11,8888,8888,8888,8888,16,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,59.0,11,0,2,0,50,1985.0,36.0,8,105,4480,549,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.269751213592233,62.05266990291262,992.8427184466019,0.0,,1241.0533980582525,1
1,41.0,11,0,2,3,522,1985.0,7.0,1,114,1600,549,1,1.0,1,1,2,2,1,1,1,1,4,0,6,2,11,8888,8888,8888,8888,7,8888,8888,8888,8888,2,2,2,2,2,2,,,,,,,2
1,51.0,11,0,2,3,549,1980.0,96.0,1,114,1600,549,1,1.0,2,2,2,2,1,2,1,2,3,1,6,1,8888,8888,8888,8888,8888,,8888,8888,8888,8888,1,2,2,2,1,1,,,,395.34587628865984,,0.0,1
1,54.0,11,0,2,0,713,1977.0,12.0,8,199,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.02007042253523,,,2
1,58.0,11,31,2,0,529,1970.0,24.0,8,105,4480,410,,2.0,2,2,2,2,2,2,2,2,4,0,4,2,11,8888,8888,8888,8888,8888,8888,8888,8888,8888,2,2,2,2,2,1,13.043724489795919,,191.3079591836735,0.0,173.91632653061225,17391.632653061224,2
1,47.0,11,31,2,4,549,1987.0,6.0,8,110,,410,,2.0,1,1,2,2,1,2,1,1,3,1,1,2,11,8888,8888,8888,8888,,,,,,2,2,2,2,2,2,,0.0,147.6363811357074,98.4242540904716,,,1
1,44.0,11,31,2,0,549,1987.0,1.0,8,199,,410,,3.0,1,1,1,1,1,1,2,1,4,4,1,2,7,8888,8888,8888,8888,9,8888,8888,8888,8888,1,1,2,2,1,1,,0.0,0.0,1176.3358895705521,392.11196319018404,1568.4478527607362,2
1,66.0,14,109,2,2,529,1941.0,18.0,8,144,7240,410,1,1.0,1,2,2,2,2,2,1,2,3,1,4,2,8888,8888,8888,8888,8888,11,8888,8888,8888,8888,2,1,2,2,2,2,,,,,,,2
