Classifier,Train_sizes,Train_scores,Validation_scores
GBM,160,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.38375350140056025, 0.35014005602240894, 0.3865546218487395, 0.3473389355742297, 0.37815126050420167, 0.3641456582633053, 0.35294117647058826, 0.33707865168539325, 0.3398876404494382, 0.34831460674157305]"
GBM,321,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.42296918767507, 0.4369747899159664, 0.39215686274509803, 0.3473389355742297, 0.40896358543417366, 0.36694677871148457, 0.41456582633053224, 0.41853932584269665, 0.3848314606741573, 0.38202247191011235]"
GBM,642,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4789915966386555, 0.43137254901960786, 0.43137254901960786, 0.4425770308123249, 0.40336134453781514, 0.4649859943977591, 0.4649859943977591, 0.4157303370786517, 0.4410112359550562, 0.4550561797752809]"
GBM,963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.484593837535014, 0.48179271708683474, 0.4789915966386555, 0.5014005602240896, 0.45098039215686275, 0.47058823529411764, 0.47619047619047616, 0.4606741573033708, 0.4606741573033708, 0.4887640449438202]"
GBM,1284,"[0.9984423676012462, 0.9984423676012462, 0.9992211838006231, 0.9984423676012462, 0.9992211838006231, 0.9984423676012462, 0.9992211838006231, 0.9984423676012462, 0.9992211838006231, 1.0]","[0.5154061624649859, 0.4733893557422969, 0.49299719887955185, 0.5238095238095238, 0.453781512605042, 0.4649859943977591, 0.4565826330532213, 0.45786516853932585, 0.45224719101123595, 0.5393258426966292]"
GBM,1605,"[0.994392523364486, 0.994392523364486, 0.9956386292834891, 0.994392523364486, 0.9937694704049844, 0.9956386292834891, 0.9931464174454828, 0.9931464174454828, 0.9950155763239875, 0.994392523364486]","[0.4957983193277311, 0.5070028011204482, 0.4957983193277311, 0.5014005602240896, 0.49859943977591037, 0.484593837535014, 0.49019607843137253, 0.5028089887640449, 0.4691011235955056, 0.5533707865168539]"
GBM,1926,"[0.9932502596053998, 0.990134994807892, 0.9927310488058152, 0.9880581516095535, 0.9906542056074766, 0.9922118380062306, 0.9916926272066459, 0.9911734164070612, 0.994288681204569, 0.9916926272066459]","[0.6022408963585434, 0.6050420168067226, 0.5966386554621849, 0.6274509803921569, 0.6134453781512605, 0.5770308123249299, 0.5938375350140056, 0.598314606741573, 0.5842696629213483, 0.6123595505617978]"
GBM,2247,"[0.9928793947485536, 0.991099243435692, 0.9937694704049844, 0.991099243435692, 0.991099243435692, 0.9924343569203382, 0.9915442812639075, 0.9915442812639075, 0.9924343569203382, 0.9915442812639075]","[0.6078431372549019, 0.5966386554621849, 0.6050420168067226, 0.6078431372549019, 0.6134453781512605, 0.5770308123249299, 0.5770308123249299, 0.6123595505617978, 0.6095505617977528, 0.6235955056179775]"
GBM,2568,"[0.991822429906542, 0.9875389408099688, 0.991822429906542, 0.9914330218068536, 0.9922118380062306, 0.9929906542056075, 0.991822429906542, 0.9902647975077882, 0.992601246105919, 0.9906542056074766]","[0.6218487394957983, 0.6134453781512605, 0.6106442577030813, 0.6218487394957983, 0.6078431372549019, 0.5630252100840336, 0.5882352941176471, 0.601123595505618, 0.6123595505617978, 0.6404494382022472]"
GBM,2889,"[0.982692973347179, 0.9840775354794047, 0.9854620976116303, 0.9830391138802353, 0.9837313949463482, 0.9851159570785739, 0.9847698165455174, 0.9820006922810661, 0.9840775354794047, 0.9830391138802353]","[0.6974789915966386, 0.711484593837535, 0.711484593837535, 0.7086834733893558, 0.6946778711484594, 0.6722689075630253, 0.6974789915966386, 0.6882022471910112, 0.6853932584269663, 0.7331460674157303]"
